日期,T日A票个数,T+1日涨停率,T+2日涨停率,T+3日涨停率,T+4日涨停率
20221101,1,0,0,0,0
20221102,10,60,40,20,10
20221107,4,50,50,25,0
20221108,1,0,0,0,0
20221109,7,57,14,14,14
20221110,7,71,57,28,28
20221111,1,100,100,0,100
20221114,4,50,0,0,0
20221115,4,75,50,25,0
20221116,4,75,25,0,0
20221117,9,33,22,11,11
20221118,8,50,12,25,12
20221121,4,0,0,0,25
20221122,1,0,0,0,0
20221123,4,25,50,25,25
20221124,5,60,40,40,40
20221125,3,100,100,100,100
20221128,5,80,80,40,20
20221129,7,57,28,28,28
20221130,5,20,0,0,0
20221201,2,50,50,50,0
20221202,6,50,33,16,66
20221205,1,0,0,0,0
20221207,3,0,33,33,0
20221208,3,0,0,33,33
20221209,5,40,20,20,20
20221212,2,50,0,0,0
20221213,4,50,25,50,25
20221214,5,20,20,0,20
20221215,6,33,16,0,0
20221216,9,33,22,11,22
20221219,3,33,33,33,0
20221220,2,50,50,0,0
20221221,4,50,0,0,0
20221222,4,25,0,25,0
20221223,5,0,0,0,0
20221226,1,100,0,0,0
20221227,4,25,25,0,0
20221228,4,50,50,50,25
20221229,4,0,0,0,0
20221230,5,20,0,0,0
