日期,T日A票个数,收益率1,收益率2,收益率3,收益率4,收益率5,收益率6
20221101,1,9.0%,9.0%,9.0%,9.0%,9.0%,9.0%
20221102,10,11.5%,13.9%,11.3%,6.6%,8.9%,6.3%
20221107,4,5.8%,12.5%,5.2%,1.0%,7.0%,0.8%
20221108,1,-2.0%,7.0%,-3.0%,-3.0%,7.0%,-3.0%
20221109,7,3.9%,12.0%,3.4%,0.0%,7.7%,-0.3%
20221110,7,6.0%,13.3%,5.1%,0.7%,7.3%,-0.1%
20221111,1,-3.0%,4.0%,-5.0%,-5.0%,2.0%,-7.0%
20221114,4,-0.8%,9.0%,-1.0%,-4.5%,4.8%,-4.8%
20221115,4,4.0%,9.2%,4.0%,2.5%,7.0%,2.5%
20221116,4,13.0%,15.8%,13.0%,6.5%,8.8%,6.2%
20221117,9,3.8%,9.6%,3.0%,2.0%,7.4%,1.2%
20221118,8,5.6%,11.6%,5.0%,2.9%,8.4%,2.4%
20221121,4,0.5%,8.0%,-0.2%,-1.8%,5.2%,-2.8%
20221122,1,0.0%,12.0%,0.0%,-7.0%,3.0%,-7.0%
20221123,4,6.2%,11.2%,6.0%,3.5%,8.0%,3.0%
20221124,5,6.6%,10.0%,5.8%,3.8%,7.2%,3.2%
20221125,3,12.3%,12.3%,12.3%,10.0%,10.0%,10.0%
20221128,5,7.2%,10.8%,7.0%,4.6%,7.8%,4.6%
20221129,7,10.0%,13.6%,9.3%,5.6%,8.9%,4.9%
20221130,5,7.6%,12.0%,6.6%,4.4%,8.6%,3.6%
20221201,2,5.5%,9.0%,5.5%,5.0%,8.5%,5.0%
20221202,6,1.7%,8.7%,0.2%,0.3%,7.2%,-1.0%
20221205,1,22.0%,22.0%,22.0%,10.0%,10.0%,10.0%
20221207,3,8.3%,11.3%,7.0%,2.3%,5.0%,0.7%
20221208,3,1.3%,11.7%,0.3%,-1.3%,7.7%,-2.7%
20221209,5,2.0%,8.8%,1.4%,0.0%,6.0%,-0.6%
20221212,2,10.0%,14.0%,10.0%,3.0%,7.0%,3.0%
20221213,4,6.5%,11.5%,6.5%,2.8%,7.8%,2.5%
20221214,5,0.4%,11.2%,0.0%,-1.6%,8.2%,-2.2%
20221215,6,2.3%,10.7%,2.0%,-1.5%,6.2%,-1.7%
20221216,9,0.1%,8.7%,-0.1%,-2.7%,5.6%,-2.9%
20221219,3,13.7%,14.0%,11.0%,8.7%,9.3%,6.3%
20221220,2,-1.0%,5.5%,-1.5%,-1.5%,5.0%,-2.0%
20221221,4,-1.2%,6.5%,-1.2%,-2.2%,5.2%,-2.2%
20221222,4,5.0%,11.5%,4.8%,2.2%,8.2%,1.8%
20221223,5,-2.2%,9.6%,-3.2%,-4.8%,6.4%,-6.0%
20221226,1,9.0%,9.0%,9.0%,9.0%,9.0%,9.0%
20221227,4,7.2%,11.8%,7.0%,4.0%,8.2%,3.5%
20221228,4,-1.5%,11.0%,-2.5%,-2.0%,9.5%,-3.8%
20221229,4,4.0%,12.2%,2.8%,-0.5%,6.8%,-2.0%
20221230,5,4.4%,11.6%,4.0%,-0.8%,5.4%,-1.4%
